N°;NOMBRE;DESCRIPCION;UBICACIÓN;CANTIDAD;ESTADO
1;Inodoro;Marca: Trebol - 6 lpf;Baño mujeres;3;Bueno
2;Inodoro para niñas;Marca: Latino - 6 lpf;Baño mujeres;1;Bueno
3;Papelera rectangular;Tamaño: # 30 - Marca: Rey;Baño mujeres;1;Bueno
4;Papelera cuadrada;Marca: Duraplast - Buzón #20;Baño mujeres;4;Bueno
5;Dispensador PP.HH;Marca: Orange;Baño mujeres;1;Bueno
6;Lavamanos;Marca:Trebol;Baño mujeres;3;Bueno
7;Dispensador jabón liquido;Rectangular;Baño mujeres;1;Bueno
8;Papelera rectangular;Tamaño: # 30 - Marca: Rey;Baño varones;1;Bueno
9;Inodoro;Marca: Trebol - 6 lpf;Baño varones;2;Bueno
10;Inodoro para niños;Marca: Latino - 6 lpf;Baño varones;1;Bueno
11;Papelera cuadrada;Marca: Duraplast - Buzón #20;Baño varones;3;Bueno
12;Lavamanos;Marca:Trebol;Baño varones;3;Bueno
13;Dispensador PP.HH;Marca: Orange;Baño varones;1;Bueno
14;Cancioneros;;Caleb;2;Bueno
15;Set de puzzle de bloques;;Caleb;8;Bueno
16;Rompecabezas 3D de animales;;Caleb;1;Bueno
17;Botiquín de madera;;Caleb;9;Bueno
18;Set de colores;;Caleb;2;Bueno
19;Set de plumones;;Caleb;24;Bueno
20;Tazas de plástico;;Caleb;3;Bueno
21;Rompecabezas de madera;;Caleb;1;Bueno
22;Set de Tangram;;Caleb;1;Bueno
23;Bandejas;Material: madera;Cocina;2;Bueno
24;Tacho;Marca: Super Rey - 50 Litros;Cocina;2;Bueno
25;Balde italiano;Marca: Grouplas - 20 Litros con caño;Cocina;1;Bueno
26;Cocina;Marca: Surge - 2 hornillas (pequeño);Cocina;1;Bueno
27;Parrilla;A carbón (Pequeño);Cocina;1;Bueno
28;Tinas Linea Robusta;Marca: Rey;Cocina;2;Bueno
29;Tinas Mediana;Marca: Urpiplast;Cocina;2;Bueno
30;Batea ludoplas;Marca: Rey;Cocina;1;Bueno
31;Caja carton;(Vasos de vidrio / tazas) - Aprox. 50 vasos;Cocina;1;Bueno
32;Bandeja Indú;Marca: SUMAplast;Cocina;3;Bueno
33;Bandejas blancas;Metal;Cocina;2;Bueno
34;Bandeja;Marca: Miray;Cocina;1;Bueno
35;Bandejas Navideñas;;Cocina;2;Bueno
36;Tazón Verona;Marca: Mabplast;Cocina;1;Bueno
37;Jarra M8R ;Marca: Plastipack - 4 Ltrs.;Cocina;1;Bueno
38;Jarra Cristalux;Marca: Rey - 4 Ltrs.;Cocina;1;Bueno
39;Licuadora;Marca: Osterizer Blender  Taza vidrio;Cocina;1;Bueno
40;Jarra de vidrio;;Cocina;1;Bueno
41;Juego de 6 utensilios de coc.;;Cocina;1;Bueno
42;Cocina industrial;Marca: Surge - 3 hornillas con horno;Cocina;2;Bueno
43;Peroles de metal;;Cocina;2;Bueno
44;Ollas grandes;;Cocina;6;Bueno
45;Tacho de basura grande;Color: Rojo;Cocina;1;Bueno
46;Escoba;;Cuarto de Limpieza;13;Bueno
47;Escobón;;Cuarto de Limpieza;1;Bueno
48;Recogedor;;Cuarto de Limpieza;14;Bueno
49;Trapeador;;Cuarto de Limpieza;9;Bueno
50;Escalera estilo tijera;;Cuarto de Limpieza;1;Bueno
51;Caja de herramientas;;Cuarto de Limpieza;2;Bueno
52;Comba;;Cuarto de Limpieza;1;Bueno
53;Cinta metrica;Medida de 25m y ancho de 7.5 mm;Cuarto de Limpieza;1;Bueno
54;Cepillo de metal;;Cuarto de Limpieza;1;Bueno
55;Martillo;;Cuarto de Limpieza;4;Bueno
56;Serrucho;;Cuarto de Limpieza;1;Bueno
57;Lijas para acero y  madera;;Cuarto de Limpieza;8;Bueno
58;Guantes negros de limpieza;;Cuarto de Limpieza;1;Bueno
59;Escobillas de WC;;Cuarto de Limpieza;5;Bueno
60;Tijera grande;;Cuarto de Limpieza;2;Bueno
61;Trapos de franela;;Cuarto de Limpieza;25;Bueno
62;Casco blanco;;Cuarto de Limpieza;1;Bueno
